Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,6071617435974919	 402	 softmax	 softmax	 SGD/lr	 0.0512	 2	 300	 (Bi_LSTM;242.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;191.000000,softmax);(Dropout;0.400000,);(Dense;2.400000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)	 50	 [0.64;0.57]	 36.91102981567383	de1f28ee-8628-40b3-bc0d-66116cf0eb6f
0,47987336047037543	 120	 softmax	 softmax	 SGD/lr	 0.0225	 2	 300	 (Bi_LSTM;20.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;109.000000,softmax);(Dropout;0.200000,);(Dense;9.600000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 50	 [0.3 ;0.66]	 38.38511776924133	88ac9a9f-9762-42ef-978f-617775ebfd58
0,3333333333333333	 41	 softmax	 relu	 Adam/lr	 0.0653	 2	 300	 (Bi_LSTM;245.000000,relu);(Dropout;0.100000,);(Bi_LSTM;254.000000,softmax);(Dropout;0.400000,);(Dense;28.400000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)	 12	 [0.67;0.  ]	 17.669328212738037	332c1e77-3ed6-4f1f-b93e-5162612a8179
0,5199060241579203	 345	 relu	 softmax	 SGD/lr	 0.0326	 2	 300	 (Bi_LSTM;67.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;162.000000,relu);(Dropout;0.100000,);(Dense;5.400000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 50	 [0.45;0.59]	 40.934043645858765	3849349f-1025-4a17-8876-7fda17ab06a6
0,3333333333333333	 282	 softmax	 softmax	 Adam/lr	 0.0386	 2	 300	 (Bi_LSTM;69.000000,relu);(Dropout;0.100000,);(Bi_LSTM;124.000000,relu);(Dropout;0.400000,);(Dense;11.600000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 23	 [0.  ;0.67]	 26.40833854675293	5df64eee-5c1b-45d5-8a86-e7b0a19609a9
0,3333333333333333	 417	 relu	 softmax	 SGD/lr	 0.083	 2	 300	 (Bi_LSTM;163.000000,relu);(Dropout;0.500000,);(Bi_LSTM;292.000000,relu);(Dropout;0.500000,);(Dense;1.500000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 12	 [0.  ;0.67]	 13.418413639068604	72a5165d-4e3e-481d-8dd2-84dbb1fe1d04
0,3333333333333333	 231	 relu	 relu	 SGD/lr	 0.0078	 2	 300	 (Bi_LSTM;266.000000,relu);(Dropout;0.500000,);(Bi_LSTM;278.000000,softmax);(Dropout;0.400000,);(Dense;1.800000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 12	 [0.67;0.  ]	 13.99561333656311	79e26bef-145f-44eb-813d-2d987600bdbb
0,6141989901091212	 355	 relu	 softmax	 SGD/lr	 0.012	 2	 300	 (Bi_LSTM;172.000000,relu);(Dropout;0.500000,);(Bi_LSTM;92.000000,softmax);(Dropout;0.300000,);(Dense;20.400000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 50	 [0.58;0.65]	 39.473527669906616	1b74642e-0325-4f6c-9924-de2034e741df
0,3333333333333333	 185	 relu	 softmax	 Adam/lr	 0.0379	 2	 300	 (Bi_LSTM;223.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;276.000000,relu);(Dropout;0.100000,);(Dense;15.100000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 15.344861030578613	b2345745-bf98-449e-ad62-09895633b12c
0,49762952149869477	 166	 softmax	 softmax	 SGD/lr	 0.0108	 2	 300	 (Bi_LSTM;14.000000,relu);(Dropout;0.300000,);(Bi_LSTM;74.000000,softmax);(Dropout;0.200000,);(Dense;26.700000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 50	 [0.39;0.61]	 42.061312675476074	694a3dfa-6213-4e52-a05d-569504254413
