Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,5590330994057702", Adam/lr,0.0662," (Dense;116.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)",12, [0.44;0.68],2.9321932792663574,9f3aa98c-82ac-4060-b448-32889e7f5c06
"0,3333333333333333", Adam/lr,0.0107," (Dense;278.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.7453861236572266,fc5a22ce-0301-4013-b3fe-03fb0d88b7a4
"0,5327102803738317", SGD/lr,0.0028," (Dense;134.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)",50, [0.5 ;0.57],5.107089281082153,f65a4433-836c-4959-b85c-222886e1a0ef
"0,5553928235171043", SGD/lr,0.0929," (Dense;185.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)",46, [0.46;0.65],5.20112681388855,a3ac63ac-f62f-428e-8ff5-64f384e5166e
"0,5098039215686274", SGD/lr,0.0106," (Dense;198.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)",50, [0.35;0.67],5.57582950592041,49deabf5-14e9-4982-85d1-5d8e893bff34
"0,5715332719448255", SGD/lr,0.0672," (Dense;32.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",7, [0.55;0.59],2.332282066345215,083a4de8-2c3d-458a-b156-aac1055cfe56
"0,6074386622909831", SGD/lr,0.02," (Dense;149.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",13, [0.61;0.6 ],2.831242561340332,45efd196-6011-4402-81bd-ac4a61a9184e
"0,3333333333333333", Adam/lr,0.0166," (Dense;157.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",10, [0.67;0.  ],3.399686574935913,3606d35c-b5a0-4038-a886-d1c89fc752b3
"0,6465257365613973", SGD/lr,0.0666," (Dense;26.000000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)",9, [0.63;0.67],2.3750896453857417,9cacec60-1c56-4bed-9945-d5cf715c33d6
"0,33886494073871043", SGD/lr,0.0142," (Dense;42.000000,softmax);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.01],2.789304256439209,0d67ae4f-4bd3-464b-bd09-150781d72ed6
